water_body,total_cases,avg_concentration,avg_exceed_ratio,records
р. Гусь,2,2.0,0.0,2
р. Вязовка (приток р. Тагил),1,51.0,5100.0,1
р. Обь,140,42.35621428571429,15667.64705882353,140
р. Нара,1,12.0,240.0,1
р. Тальтия (приток р. Ивдель),4,84.5,17093.75,4
р. Вычегда,13,130.51615384615386,14967.555555555555,13
оз. Ловозеро,1,8.0,8000.0,1
р. Березовка (приток р.Пышма),4,80.5,70500.0,4
р. Ирбит,18,76.38333333333334,7069.2307692307695,18
р. Печегда,1,100.0,0.0,1
р. Иска,15,225.8,25760.0,15
р. Бирюса,1,85.0,85000.0,1
р. Хасын,2,762.0,0.0,2
р. Бердь,3,61.333333333333336,15900.0,3
р. Кедровка,6,206.66666666666666,2134.0,6
р. Пьяна,2,62.0,0.0,2
р. Каймашинка,5,93.8,0.0,5
р. Сыня,1,135.0,13500.0,1
р. Лютога,2,79.5,795.0,2
р. Сундовик,5,82.6,0.0,5
р. Багаряк,1,64.0,640.0,1
р. Казым,3,72.66666666666667,7266.666666666667,3
