indicator,year,month,avg_concentration
Марганец,2016,3,79.97142857142858
Марганец,2016,4,80.96818181818182
Марганец,2016,5,83.64285714285714
Марганец,2016,6,90.0
Марганец,2016,7,61.375
Марганец,2016,8,66.0
Марганец,2016,9,63.5
Марганец,2016,10,73.8
Марганец,2016,11,84.33333333333333
Марганец,2016,12,83.2
Марганец,2017,1,78.44444444444444
Марганец,2017,2,76.96153846153847
Марганец,2017,3,86.8108108108108
Марганец,2017,4,90.55172413793103
Марганец,2017,5,65.66666666666667
Марганец,2017,6,83.25
Марганец,2017,7,74.5
Марганец,2017,8,66.0
Марганец,2017,9,90.66666666666667
Марганец,2017,10,141.4
Марганец,2017,11,67.0
Марганец,2017,12,74.5
Марганец,2018,1,84.6923076923077
Марганец,2018,2,84.2
Марганец,2018,3,80.25581395348837
Марганец,2018,4,84.69642857142857
Марганец,2018,5,73.88461538461539
Марганец,2018,6,68.66666666666667
Марганец,2018,7,86.57142857142857
Марганец,2018,8,60.0
Марганец,2018,9,108.0
Марганец,2018,10,58.0
Марганец,2018,11,83.2
Марганец,2018,12,75.9090909090909
Марганец,2019,1,71.16666666666667
Марганец,2019,2,73.47058823529412
Марганец,2019,3,83.41818181818182
Марганец,2019,4,86.58333333333333
Марганец,2019,5,93.75
Марганец,2019,6,83.11111111111111
Марганец,2019,7,68.9
Марганец,2019,8,63.0
Марганец,2019,9,63.75
Марганец,2019,10,65.63636363636364
Марганец,2019,11,87.54545454545455
Марганец,2019,12,92.77777777777777
Марганец,2020,1,68.0
Марганец,2020,2,73.01481481481481
Марганец,2020,3,85.42307692307692
Марганец,2020,4,98.0
Марганец,2020,5,70.5
Марганец,2020,6,73.5
Марганец,2020,8,115.28571428571429
Марганец,2020,10,53.0
Марганец,2020,11,75.33333333333333
Марганец,2020,12,99.66666666666667
Марганец,2021,1,71.5
Марганец,2021,2,80.85365853658537
Марганец,2021,3,87.28787878787878
Марганец,2021,4,81.04761904761905
Марганец,2021,5,81.66666666666667
Марганец,2021,6,86.0
Марганец,2021,7,79.8
Марганец,2021,8,262.6
Медь,2008,1,155.0
Медь,2008,2,109.0
Медь,2008,3,146.0
Медь,2008,4,157.0
Медь,2008,5,78.0
Медь,2008,6,68.5
Медь,2008,7,220.0
Медь,2008,8,97.0
Медь,2008,9,84.0
Медь,2008,10,75.75
Медь,2008,11,74.33333333333333
Медь,2008,12,122.0
Медь,2009,2,90.0
Медь,2009,4,74.0
Медь,2009,5,67.66666666666667
Медь,2009,6,68.5
Медь,2009,7,222.65
Медь,2009,8,51.0
Медь,2009,10,77.6
Медь,2009,11,61.0
Медь,2010,1,56.5
Медь,2010,2,94.0
Медь,2010,3,86.0
Медь,2010,4,117.22222222222223
Медь,2010,5,84.77777777777777
Медь,2010,6,59.333333333333336
Медь,2010,7,74.33333333333333
Медь,2010,8,61.0
Медь,2010,9,92.66666666666667
Медь,2010,10,71.5
Медь,2010,11,1331.0
Медь,2011,4,147.66666666666666
Медь,2011,5,99.0
Медь,2011,6,139.57142857142858
Медь,2011,7,68.0
Медь,2011,8,56.0
Медь,2011,10,98.0
Медь,2011,11,203.0
Медь,2011,12,128.66666666666666
Медь,2012,1,110.5
Медь,2012,2,382.3333333333333
Медь,2012,3,163.0
Медь,2012,4,248.5
Медь,2012,5,215.5
Медь,2012,6,709.25
Медь,2012,7,96.5
Медь,2012,8,319.0
Медь,2012,9,64.0
